surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Grass,32,A,20210712,111442,Jordan Thompson,R,183.0,27.2,105649,Cedrik Marcel Stebe,L,183.0,30.7,5-4 RET,R32,71.0,982.0,139.0,566.0
Grass,32,A,20210712,105376,Peter Gojowczyk,R,185.0,31.9,106283,Mitchell Krueger,R,188.0,27.4,6-2 6-2,R32,131.0,594.0,195.0,356.0
Grass,32,A,20210712,202385,Jenson Brooksby,R,188.0,20.7,105539,Evgeny Donskoy,R,185.0,31.1,7-5 6-3,R32,152.0,487.0,142.0,537.0
Grass,32,A,20210712,106045,Denis Kudla,R,180.0,28.9,105449,Steve Johnson,R,188.0,31.5,7-6(3) 3-6 6-4,R32,104.0,768.0,83.0,884.0
Grass,32,A,20210712,104731,Kevin Anderson,R,203.0,35.1,105011,Illya Marchenko,R,185.0,33.8,7-5 6-3,R32,113.0,708.0,156.0,470.0
Grass,32,A,20210712,124116,Sebastian Ofner,R,191.0,25.1,106034,Yasutaka Uchiyama,R,183.0,28.9,6-4 6-4,R32,167.0,431.0,118.0,688.0
Grass,32,A,20210712,106058,Jack Sock,R,185.0,28.7,106109,Alex Bolt,L,183.0,28.5,3-6 6-4 6-3,R32,231.0,301.0,146.0,519.0
Grass,32,A,20210712,105815,Tennys Sandgren,R,188.0,29.9,105311,Joao Sousa,R,185.0,32.2,6-4 7-6(3),R32,78.0,929.0,133.0,592.0
Grass,32,A,20210712,105359,Jason Jung,R,178.0,32.0,111790,Brayden Schnur,R,193.0,26.0,7-5 6-7(1) 7-6(4),R32,163.0,441.0,248.0,263.0
Grass,32,A,20210712,103333,Ivo Karlovic,R,208.0,42.3,126523,Bernabe Zapata Miralles,R,185.0,24.4,6-7(5) 6-1 6-4,R32,210.0,332.0,120.0,670.0
Grass,32,A,20210712,202195,Maxime Cressy,R,198.0,24.1,105023,Sam Querrey,R,198.0,33.7,6-4 2-6 6-2,R16,155.0,473.0,68.0,1003.0
Grass,32,A,20210712,111442,Jordan Thompson,R,183.0,27.2,105216,Yuichi Sugita,R,173.0,32.8,6-0 6-2,R16,71.0,982.0,111.0,713.0
Grass,32,A,20210712,105376,Peter Gojowczyk,R,185.0,31.9,105577,Vasek Pospisil,R,193.0,31.0,6-3 6-3,R16,131.0,594.0,61.0,1106.0
Grass,32,A,20210712,202385,Jenson Brooksby,R,188.0,20.7,106045,Denis Kudla,R,180.0,28.9,6-3 4-6 7-5,R16,152.0,487.0,104.0,768.0
Grass,32,A,20210712,104731,Kevin Anderson,R,203.0,35.1,124116,Sebastian Ofner,R,191.0,25.1,7-5 7-6(3),R16,113.0,708.0,167.0,431.0
Grass,32,A,20210712,106058,Jack Sock,R,185.0,28.7,106415,Yoshihito Nishioka,L,170.0,25.7,6-2 6-3,R16,231.0,301.0,55.0,1177.0
Grass,32,A,20210712,105359,Jason Jung,R,178.0,32.0,105815,Tennys Sandgren,R,188.0,29.9,6-2 6-2,R16,163.0,441.0,78.0,929.0
Grass,32,A,20210712,122330,Alexander Bublik,R,196.0,24.0,103333,Ivo Karlovic,R,208.0,42.3,7-6(5) 4-6 6-1,R16,37.0,1721.0,210.0,332.0
Grass,32,A,20210712,111442,Jordan Thompson,R,183.0,27.2,202195,Maxime Cressy,R,198.0,24.1,6-3 7-6(6),QF,71.0,982.0,155.0,473.0
Grass,32,A,20210712,202385,Jenson Brooksby,R,188.0,20.7,105376,Peter Gojowczyk,R,185.0,31.9,6-0 6-3,QF,152.0,487.0,131.0,594.0
Grass,32,A,20210712,104731,Kevin Anderson,R,203.0,35.1,106058,Jack Sock,R,185.0,28.7,6-7(5) 6-2 6-4,QF,113.0,708.0,231.0,301.0
Grass,32,A,20210712,122330,Alexander Bublik,R,196.0,24.0,105359,Jason Jung,R,178.0,32.0,6-2 6-4,QF,37.0,1721.0,163.0,441.0
Grass,32,A,20210712,202385,Jenson Brooksby,R,188.0,20.7,111442,Jordan Thompson,R,183.0,27.2,6-3 7-6(3),SF,152.0,487.0,71.0,982.0
Grass,32,A,20210712,104731,Kevin Anderson,R,203.0,35.1,122330,Alexander Bublik,R,196.0,24.0,4-6 7-6(3) 7-5,SF,113.0,708.0,37.0,1721.0
Grass,32,A,20210712,104731,Kevin Anderson,R,203.0,35.1,202385,Jenson Brooksby,R,188.0,20.7,7-6(8) 6-4,F,113.0,708.0,152.0,487.0
